provincia;canton;num_vivienda;num_hogar;num_persona;rol_hogar;sexo_nacim;anios;cultura;tip_colegio;nivel_academic;ocupacion;estado_conyugal;hijos;area;discapacidad;idiomas;tipo_vivienda
1;1;1;1;1;1;2;39;6;0;12;2;6;1;1;8;2;1
1;1;1;1;2;3;2;4;6;1;3;99;0;99;1;8;2;1
1;1;1;1;3;7;1;80;6;0;5;8;5;99;1;8;2;1
1;1;1;1;4;7;2;76;6;0;5;99;5;2;1;8;2;1
1;1;2;1;1;1;1;75;6;0;5;9;1;99;1;9;2;1
1;1;2;1;2;2;2;55;6;0;5;9;1;99;1;9;2;1
1;1;2;1;3;3;2;21;6;0;8;99;6;99;1;9;2;1
1;1;3;1;1;1;1;36;6;0;11;2;5;99;1;8;2;1
1;1;3;1;2;2;2;34;6;0;11;1;5;1;1;8;2;1
1;1;3;1;3;3;1;9;6;2;6;99;0;99;1;8;2;1
1;1;5;1;1;1;2;60;6;0;11;2;5;2;2;8;2;1
1;1;5;1;2;2;1;61;6;0;9;6;5;99;2;8;2;1
1;1;6;1;1;1;1;40;6;0;11;1;3;99;2;9;2;1
1;1;7;1;1;1;2;33;6;0;5;3;2;3;2;8;2;5
1;1;7;1;2;3;2;12;6;1;6;8;6;99;2;8;2;5
1;1;7;1;3;3;2;10;6;1;6;99;0;99;2;8;2;5
1;1;7;1;4;3;1;4;6;0;3;99;0;99;2;8;2;5
1;1;8;1;1;1;1;23;6;0;8;3;1;99;2;8;2;4
1;1;8;1;2;2;2;21;6;0;8;99;1;1;2;8;2;4
1;1;8;1;3;3;1;1;6;0;1;99;0;99;2;8;2;4
1;1;9;1;1;1;1;51;6;0;5;3;5;99;2;8;2;1
1;1;9;1;2;2;2;49;6;0;5;99;5;99;2;8;2;1
1;1;9;1;3;3;1;6;6;0;3;99;0;99;2;8;2;1
1;1;9;1;4;6;2;12;6;1;6;99;6;99;2;8;2;1
1;1;9;1;5;6;2;10;6;1;6;99;0;99;2;4;2;1
1;1;9;1;6;6;1;5;6;1;6;99;0;99;2;8;2;1
1;1;10;1;1;1;1;73;6;0;5;99;5;99;2;8;2;1
1;1;10;1;2;2;2;68;6;0;5;99;5;4;2;8;2;1
1;1;11;1;1;1;1;27;6;0;8;9;6;99;2;9;2;1
1;1;12;1;1;1;1;44;6;0;5;3;5;99;2;8;2;1
1;1;12;1;2;2;2;42;6;0;5;9;5;99;2;9;2;1
1;1;12;1;3;3;1;18;6;0;8;9;6;99;2;9;2;1
1;1;12;1;4;3;2;11;6;0;6;99;0;99;2;9;2;1
1;1;14;1;1;1;2;47;6;0;5;3;6;3;2;8;2;5
1;1;14;1;2;3;1;21;3;0;8;6;6;99;2;8;2;5
1;1;15;1;1;1;2;29;6;0;11;1;5;1;1;8;2;5
1;1;15;1;2;9;2;29;6;0;11;1;5;1;1;8;2;5
1;1;17;1;1;1;2;44;6;0;1;99;1;6;2;5;2;4
1;1;17;1;2;2;1;32;6;0;5;3;1;99;2;8;2;4
1;1;17;1;3;3;1;13;5;1;6;99;6;99;2;8;2;4
1;1;17;1;4;3;2;7;6;1;6;99;0;99;2;8;2;4
1;1;17;1;5;3;2;5;6;1;6;99;0;99;2;8;2;4
1;1;19;1;1;1;2;83;6;0;5;99;6;5;1;8;2;4
1;1;20;1;1;1;1;52;6;0;1;2;6;99;1;8;2;4
1;1;20;1;2;2;2;44;6;0;1;99;2;2;1;8;2;4
1;1;21;1;1;1;2;34;6;0;7;99;6;4;1;8;2;4
1;1;21;1;2;3;1;14;6;2;6;99;6;99;1;8;2;4
1;1;21;1;3;3;1;13;6;2;6;99;6;99;1;8;2;4
1;1;21;1;4;3;2;10;6;2;6;99;0;99;1;8;2;4
1;1;21;1;5;3;2;2;6;0;1;99;0;99;1;8;2;4
1;1;22;1;1;1;1;25;6;0;11;2;6;99;1;8;2;4
1;1;23;1;1;1;2;29;6;1;11;99;6;2;2;8;2;5
1;1;23;1;2;3;1;11;6;1;6;99;0;99;2;8;2;5
1;1;23;1;3;3;2;10;6;1;6;99;0;99;2;8;2;5
1;1;25;1;1;1;2;47;6;0;7;6;6;3;2;8;2;1
1;1;25;1;2;3;1;30;6;0;7;1;1;99;2;8;2;1
1;1;25;1;3;3;1;18;6;1;8;99;6;99;2;8;2;1
1;1;25;1;4;7;2;85;6;0;5;99;3;10;2;8;2;1
1;1;25;1;5;9;1;42;6;0;7;6;6;99;2;8;2;1
1;1;26;1;1;1;1;20;6;0;8;1;1;99;2;8;2;4
1;1;26;1;2;2;2;35;6;0;7;6;1;2;2;8;2;4
